timestamp,event_type,severity,message
2026-08-12 01:30:01,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:30:03,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:05,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:13,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:15,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:15,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:30:18,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:20,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:23,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:26,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:32,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:32,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:30:35,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:30:41,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:51,YAWNING,MODERATE,Yawning detected
2026-08-12 01:30:55,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:00,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:06,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:31:08,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:10,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:31:12,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:16,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:23,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:31:24,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:31:27,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:31:28,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:30,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:33,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:31:34,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:37,YAWNING,MODERATE,Yawning detected
2026-08-12 01:31:49,YAWNING,MODERATE,Yawning detected
2026-08-12 01:32:15,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:32:17,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:32:17,YAWNING,MODERATE,Yawning detected
2026-08-12 01:32:19,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:32:21,YAWNING,MODERATE,Yawning detected
2026-08-12 01:34:53,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:34:54,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:34:56,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:34:58,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:35:00,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:35:02,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:35:05,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:35:07,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:35:09,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:35:11,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:35:14,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:35:16,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:35:18,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:35:20,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:35:23,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:35:24,YAWNING,MODERATE,Yawning detected
2026-08-12 01:35:27,YAWNING,MODERATE,Yawning detected
2026-08-12 01:35:27,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:35:34,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:36:10,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:37:05,YAWNING,MODERATE,Yawning detected
2026-08-12 01:37:07,YAWNING,MODERATE,Yawning detected
2026-08-12 01:37:25,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:37:31,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:37:34,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:37:36,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:37:39,YAWNING,MODERATE,Yawning detected
2026-08-12 01:37:42,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:37:45,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:38:05,YAWNING,MODERATE,Yawning detected
2026-08-12 01:38:32,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:38:34,YAWNING,MODERATE,Yawning detected
2026-08-12 01:38:45,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:07,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:10,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:19,YAWNING,MODERATE,Yawning detected
2026-08-12 01:39:21,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:26,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:29,YAWNING,MODERATE,Yawning detected
2026-08-12 01:39:30,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:39:31,YAWNING,MODERATE,Yawning detected
2026-08-12 01:39:31,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:35,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:38,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:39:40,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:39:41,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:43,INTERVENTION,LOW,Intervention changed from NORMAL to LOW
2026-08-12 01:39:44,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:39:46,YAWNING,MODERATE,Yawning detected
2026-08-12 01:39:47,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:39:50,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:39:50,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 01:39:52,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 01:39:54,INTERVENTION,NORMAL,Intervention changed from LOW to NORMAL
2026-08-12 01:40:15,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 01:40:36,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:38:58,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 02:38:59,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:39:00,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.1s
2026-08-12 02:39:01,EYE_CLOSURE,HIGH,Eyes closed for 1.5s
2026-08-12 02:39:01,MICROSLEEP,CRITICAL,Microsleep detected
2026-08-12 02:39:01,INTERVENTION,HIGH,Intervention changed from NORMAL to HIGH
2026-08-12 02:39:02,RISK_TRANSITION,HIGH,Risk changed from MODERATE to HIGH
2026-08-12 02:39:04,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:39:07,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 02:39:07,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 02:39:08,INTERVENTION,NORMAL,Intervention changed from HIGH to NORMAL
2026-08-12 02:39:10,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:39:12,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:39:14,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 02:39:18,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:39:20,INTERVENTION,LOW,Intervention changed from NORMAL to LOW
2026-08-12 02:39:20,EYE_CLOSURE,HIGH,Eyes closed for 1.5s
2026-08-12 02:39:20,MICROSLEEP,CRITICAL,Microsleep detected
2026-08-12 02:39:20,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.1s
2026-08-12 02:39:20,RISK_TRANSITION,MODERATE,Risk changed from LOW to MODERATE
2026-08-12 02:39:23,RISK_TRANSITION,MODERATE,Risk changed from HIGH to MODERATE
2026-08-12 02:39:25,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 02:39:26,RISK_TRANSITION,LOW,Risk changed from HIGH to LOW
2026-08-12 02:39:28,RISK_TRANSITION,MODERATE,Risk changed from NORMAL to MODERATE
2026-08-12 02:39:31,INTERVENTION,NORMAL,Intervention changed from HIGH to NORMAL
2026-08-12 02:39:32,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 02:39:33,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:39:35,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 02:39:42,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:39:44,RISK_TRANSITION,NORMAL,Risk changed from LOW to NORMAL
2026-08-12 02:54:51,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:54:53,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:54:56,RISK_TRANSITION,MODERATE,Risk changed from LOW to MODERATE
2026-08-12 02:54:59,RISK_TRANSITION,MODERATE,Risk changed from LOW to MODERATE
2026-08-12 02:55:01,RISK_TRANSITION,LOW,Risk changed from MODERATE to LOW
2026-08-12 02:55:04,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-12 02:55:05,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.1s
2026-08-12 02:55:06,EYE_CLOSURE,HIGH,Eyes closed for 1.6s
2026-08-12 02:55:06,MICROSLEEP,CRITICAL,Microsleep detected
2026-08-12 02:55:06,INTERVENTION,HIGH,Intervention changed from NORMAL to HIGH
2026-08-12 02:55:07,RISK_TRANSITION,HIGH,Risk changed from MODERATE to HIGH
2026-08-12 02:55:09,RISK_TRANSITION,LOW,Risk changed from MODERATE to LOW
2026-08-12 02:55:11,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 02:55:12,EYE_CLOSURE,HIGH,Eyes closed for 2.2s
2026-08-12 02:55:12,MICROSLEEP,CRITICAL,Microsleep detected
2026-08-12 02:55:12,RISK_TRANSITION,HIGH,Risk changed from MODERATE to HIGH
2026-08-12 02:55:14,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 02:55:15,RISK_TRANSITION,MODERATE,Risk changed from HIGH to MODERATE
2026-08-12 02:55:17,RISK_TRANSITION,LOW,Risk changed from MODERATE to LOW
2026-08-12 02:55:20,RISK_TRANSITION,MODERATE,Risk changed from LOW to MODERATE
2026-08-12 02:55:22,RISK_TRANSITION,MODERATE,Risk changed from LOW to MODERATE
2026-08-12 02:55:23,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-12 02:55:25,INTERVENTION,LOW,Intervention changed from HIGH to LOW
2026-08-12 02:55:25,RISK_TRANSITION,MODERATE,Risk changed from LOW to MODERATE
2026-08-12 02:55:26,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.1s
2026-08-12 02:55:28,RISK_TRANSITION,MODERATE,Risk changed from LOW to MODERATE
2026-08-12 02:55:29,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.1s
2026-08-12 02:55:30,EYE_CLOSURE,HIGH,Eyes closed for 1.6s
2026-08-12 02:55:30,MICROSLEEP,CRITICAL,Microsleep detected
2026-08-12 02:55:30,INTERVENTION,HIGH,Intervention changed from LOW to HIGH
